"original_title,""overview"",""popularity"",""release_date"",""vote_average"",""vote_count"",""budget"",""keywords"",""director"",""comentarios""",,,,,,,
"The Lady from Shanghai,""The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home."",""63148529"",""5/25/2016"",""63"",""2268"",""160000000"",""video game elves orcs magic chase"",""Duncan Jones"",""""",,,,,,,
"Tycoon,""An English mother and her teenage son spend a week preparing the sale of their remote holiday house in the South of France. Fifteen-year-old Elliot struggles with his dawning sexuality and an increasing alienation from his mother, Beatrice. She in turn is confronted by the realisation that her marriage to his father, Philip, has grown loveless and the life she knows is coming to an end. When an enigmatic local teenager, ClÃ©ment, quietly enters their lives, both mother and son are compelled to confront their desires and, finally, each other."",""4.26E+16"",""5/20/2016"",""75"",""12"",""0"",""gay"",""Andrew Steggall"",""""",,,,,,,
"Open Secret,""After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."",""139272042"",""5/18/2016"",""64"",""4721"",""178000000"",""mutant supernatural powers marvel comic superhero based on comic book"",""Bryan Singer"",""""",,,,,,,
"The Pirate,""Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits."",""68794673"",""5/13/2016"",""70"",""1949"",""40000000"",""london england england 1970s spirit single mother"",""James Wan"",""""",,,,,,,
"Red River,""Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio."",""38279458"",""5/12/2016"",""65"",""1068"",""27000000"",""bomb sniper tv show hostage drama police"",""Jodie Foster"",""""",,,,,,,
"She Wore a Yellow Ribbon,""A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter."",""9.05E+15"",""5/12/2016"",""72"",""250"",""0"",""sex small town exorcism investigation daughter"",""Na Hong-jin"",""""",,,,,,,
"Sands of Iwo Jima,""An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, itâ€™s up to these unlikely outcasts to figure out what the pigs are up to."",""45720894"",""5/11/2016"",""59"",""1022"",""73000000"",""island bird pig talking animal based on video game"",""Fergal Reilly"",""""",,,,,,,
"Annie Get Your Gun,""The story of Florence Foster Jenkins, a New York heiress, who dreamed of becoming an opera singer, despite having a terrible singing voice."",""19237254"",""5/6/2016"",""66"",""392"",""29000000"",""opera biography singing false"",""Stephen Frears"",""""",,,,,,,
"Show Boat,""Colonel Robert Sikes is on a mission to rid his city of crime. As a stealthy, one-man assault team, he will take on street gangs, mobsters, and politicians with extreme prejudice until his mission is complete. His former protÃ©gÃ©, William Porter, teams up with the local police department to bring his former commander to justice and prevent him from further vigilantism."",""2101718"",""5/6/2016"",""41"",""16"",""8000000"","""",""Michael Winnick"",""""",,,,,,,
"A Streetcar Named Desire,""A young Oxford academic and his attorney girlfriend holiday on Antigua. They bump into a Russian millionaire who owns a peninsula and a diamond watch. He wants a game of tennis. What else he wants propels the lovers on a tortuous journey to the City of London and its unholy alliance with Britain's intelligence establishment, to Paris and the Alps."",""10547959"",""5/5/2016"",""60"",""160"",""0"",""based on novel woman director"",""Susanna White"",""""",,,,,,,
"Quo Vadis,""A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters."",""5.02E+16"",""5/4/2016"",""56"",""1462"",""35000000"",""alcohol college party sequel sorority"",""Nicholas Stoller"",""""",,,,,,,
"The Greatest Show on Earth,""During home renovations, a young couple release a fiery spirit seeking retribution. To save themselves and set the spirit free, they must uncover the dire truth. But nothing is as simple as it seems..."",""2525569"",""5/3/2016"",""53"",""11"",""0"","""",""Zack Ward"",""""",,,,,,,
"Deadline - U.S.A.,""The Secret is the story of a real-life double murder. James Nesbitt plays Colin Howell, a respectable dentist and pillar of the community, who became a killer in partnership with a Sunday school teacher, Hazel Buchanan, played by Genevieve O'Reilly."",""4.23E+16"",""4/29/2016"",""0"",""0"",""0"",""miniseries"",""Nick Murphy "",""""",,,,,,,
"High Noon,""Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies."",""1.98E+16"",""4/27/2016"",""71"",""7241"",""250000000"",""civil war war marvel comic sequel superhero"",""Anthony Russo"",""""",,,,,,,
"Singin' in the Rain,""Friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang."",""18268009"",""4/21/2016"",""60"",""421"",""15000000"",""hitman strip club african american gangster car chase"",""Peter Atencio"",""""",,,,,,,
"Niagara,""The story springs from the real-world headlines of religious cults and mass suicides. With Veil, it begins 30 years ago, when members of a religious cult known as Heaven's Veil take their own lives. The truth behind what really happened remains buried deep in the memory of the sole survivor, a five-year-old girl, who returns to the compound with a documentary crew as an adult. They soon discover something that is far more terrifying than anything they could have imagined."",""12822534"",""4/21/2016"",""45"",""118"",""4000000"",""cult"",""Phil Joanou"",""""",,,,,,,
"The Beast from 20,000 Fathoms,""A young punk rock band find themselves trapped in a secluded venue after stumbling upon a horrific act of violence."",""3.00E+16"",""4/15/2016"",""67"",""683"",""5000000"",""skinhead heroin music cover-up murder"",""Jeremy Saulnier"",""""",,,,,,,
"From Here to Eternity,""Bill Pope is a CIA agent on a mission in London tracking down a shadowy hacker nicknamed """"The Dutchman."""" When he gets mysteriously ambushed and killed, an experimental procedure is used to transfer his memories into dangerous ex-convict Jericho Stewart. When he wakes up with the CIA agent's memories, his mission is to find The Dutchman and eliminate him before the hacker launches ICBM's and starts World War III. But complications soon arise and the mission turns personal."",""27891012"",""4/14/2016"",""57"",""557"",""31500000"",""cia memory convict implant"",""Ariel Vromen"",""""",,,,,,,
"The Robe,""A man is out for justice after a group of corrupt police officers are unable to catch his wife's killer."",""1.01E+16"",""4/14/2016"",""45"",""179"",""18000000"",""revenge murder police corruption violence corrupt politician"",""Chuck Russell"",""""",,,,,,,
"Seven Samurai,""After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo."",""9.42E+15"",""4/7/2016"",""67"",""2892"",""175000000"",""based on novel snake wolf elephant tiger"",""Jon Favreau"",""""",,,,,,,
"On the Waterfront,""A titan of industry is sent to prison after she's caught for insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget."",""2055509"",""4/7/2016"",""55"",""431"",""29000000"",""business woman ex-con duringcreditsstinger girl scouts"",""Ben Falcone"",""""",,,,,,,
"The Egyptian,""As two evil sisters prepare to conquer the land, two renegadesâ€”Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Saraâ€”set out to stop them."",""6.05E+16"",""4/6/2016"",""60"",""1523"",""115000000"",""witch magic fairy tale snow white huntsman"",""Cedric Nicolas-Troyan"",""""",,,,,,,
